순위,제목,저자,출판사,요약
23,클라우드 컴퓨팅 재출간판 ,토마스 얼,에이콘출판,"2015년 대한민국학술원 우수 학술도서 선정도서
클라우드 컴퓨팅의 개념부터 모델, 기술 아키텍처에 이르기까지 클라우드 컴퓨팅의 모든 것을 명확하게 정의하고 있으며, 다양한 응용사례를 다루는 책이다."
24,소프트 스킬,존 손메즈,길벗,"저자 존 손메즈가 이 책을 쓴 이유는 개발자로 사는 데 도움이 되는 정보와 조언을 집약적으로 담은 안내서를 만들고 싶어서다. 자신이 33세에 은퇴하기까지 성공과 실패를 통해 배운 것, 여러 사람을 만나면서"
25,전자정부 표준프레임워크 퀵스타트,채규태,루비페이퍼,"전자정부 표준프레임워크 완벽 해설
이 책의 전반부에는 표준프레임워크의 개발 환경에 대해 다룬다. 기본적인 환경 구축을 시작으로 Eclipse 플러그인을 업데이트하는 방법, 추가적인 오픈 소스나 라이브러리를"
26,왜 시스템 개발만 하면 싸워댈까? IT Leaders 21 ,호소카와 요시히로,위키북스,[왜 시스템 개발만 하면 싸워댈까?]는 여러 IT 분쟁 사례를 비롯해 저자가 IT 기술자였던 시절과 컨설턴트 시절에 겪은 경험을 바탕으로 프로젝트의 실패 원인을 분석하고 해결책을 고민해 정리한 책이다. 이 책은
27,"스마트 시대, 바르고 건강하게 살기 BARUN ICT Life Series 1 ",김범수,이담북스,"지난 몇 년 사이, 우리 사회에서 화두로 떠오른 ‘4차 산업혁명’은 거부할 수 없는 시대의 흐름이 되었다. 사회 체계 전반이 혁명적인 전환점을 맞이하고 있고, 기술혁신이 몰고 온 우리 사회의 근본적인 변화가"
28,"인문학도, 개발자되다",마르코,영진닷컴,"이제 막 개발에 입문하려는 비전공자를 위해 
문과 출신 개발자가 들려주는 개발 이야기

개발자가 되고 싶은 비전공자를 위해 인문학도 출신인 저자가 어떻게 개발자가 되었는지 그 과정을 이 책 한 권에"
29,가상화의 기본 개념 집에서 배우는 ,Takaoka Susumu,정보문화사,"가상화 기술이 매년 진보함에 따라 가상화가 도입되는 분야는 하루가 다르게 확장되고 있다. 이 책은 이와 같은 흐름에 발맞춰 서버 가상화, 네트워크 가상화, 스토리지 가상화 등 다양한 가상화 기술을 상세하게"
30,클라우드 컴퓨팅 구현 기술 에이콘 클라우드 컴퓨팅 시리즈 2 ,김형준,에이콘출판,"『클라우드 컴퓨팅 구현 기술』은 그 동안 클라우드 컴퓨팅 분야에서 많이 다루지 않았던 시스템이나 서비스의 개발과 관련된 내용을 다룬다. 이 책에서는 분산 아키텍처를 이용해 확장성, 가용성 있는 시스템,"
31,시스템 다이내믹스 모델링과 시뮬레이션,곽상만,북코리아,『시스템 다이내믹스 모델링과 시뮬레이션』은 MIT에서 개발된 예측 기법의 하나인 시스템 다이내믹스를 손쉽게 공부할 수 있는 교재다. 이 교재를 통하여 독자들이 문제의 분석과 동시에 즉시 활용 가능하도록
32,테크니컬 리더,제럴드 M. 와인버그,인사이트,"혁신, 동기부여, 조직화를 통한 문제 해결 리더십 『테크니컬 리더』. 이 책은 아이디어와 혁신을 통해 조직원의 능력을 발휘할 수 있도록 하는 문제 해결형 리더인 테크니컬 리더로 가는 길을 안내한다. 리더십에"
33,프로그래밍 심리학 프로그램 프로그래밍 프로그래머  양장본 HardCover ,제랄드 M. 와인버그,인사이트,"『프로그래밍 심리학』은 프로그래밍을 둘러싼 여러 영역의 사람들이 가지는 마음의 이치를 다루고 있다. '인간 행위로 보는 프로그래밍', '사회 활동으로 보는 프로그래밍', '개인 행위로 보는 프로그래밍'"
34,맨먼스 미신 프로그램 프로그래밍 프로그래머 시리즈 9 ,프레더릭 브룩스,인사이트,『맨먼스 미신』은 저자 프레더릭 브룩스가  IBM 시스템/360 제품군과 그 운영 체제인 OS/360 프로젝트 관리자를 맡으며 겪었던 경험과 그 일에서 비롯된 깨달음을 녹여내 복잡한 프로젝트에 당면해 있는
35,Nature of Code,다니엘 쉬프만,한빛미디어,"『Nature of Code』는 벡터, 진동, 물리 라이브러리, 프랙털, 신경망 등 자연계 법칙을 재밌고 쉽게 구현하면서 프로그래밍을 이해할 수 있도록 구성되어 있다. 이를 위해 비전공자도 비교적 가볍게 접근할 수"
36,스마트 스페이스와 디지털 트랜스포메이션 전략 양장본 HardCover ,이봉규,연세대학교 대학출판문화원,"스마트 스페이스는 최근 전 세계적으로 큰 화두가 되고 있다. 기술의 발전으로 우리가 하루를 보내는 방식이 변화하고, 과거에는 상상 만 했던 서비스들이 실제 공간에 구현되고 있다. 이 책은 우리의 일하는"
37,온톨로지 공학 KORTERM시리즈 17 ,MIZOGUCHI R,두양사,"[머리말]

Ⅰ편은 온톨로지 공학을 개관하여 그 본질과 현상에 대해 간단하게 알고 싶은 분, 온톨로지 공학의 성과를 이용하는 입장에 있는 분들을 위한 입문이며, Ⅱ편은 온톨로지를 스스로 만드는 힘을 기르고"
38,인터넷 윤리 4차 산업혁명 시대의  3판 ,인터넷윤리실천협의회,이한미디어,▶ 이 책은 인터넷 윤리를 다룬 이론서입니다. 인터넷 윤리의 기초적이고 전반적인 내용을 학습할 수 있습니다.
39,플랫폼의 시대 반양장 ,필 사이먼,제이펍,"『플랫폼의 시대』는 오늘날의 비즈니스 세계가 10년 전과 얼마나 달라졌는지에 대해 설명한다. 아마존, 애플, 페이스북, 그리고 구글과 같이 오늘날 가장 성공한 회사들 전혀 다른 비즈니스 모델을 운영하고"
40,미래를 바꿀 IT 과학이야기 IT 과학이야기 # 1 ,이재영,로드북,IT는 그 어떤 것보다 격변하는 세상의 중심에 있다. 이 책 『미래를 바꿀 IT 과학이야기』는 미래를 바꿀 7가지 IT 기술에 관해 과학적 원리를 쉽고 재미있게 풀어낸 책이다. IT 과학자를 꿈꾸는 청소년들에게는
41,알고리즘 마케팅 데이터 과학 ,일리야 캐서브,에이콘출판,"마케팅 분석가를 위한 고급 마케팅 자동화에 관한 가이드다. 테크놀로지, 광고, 소매 업계에서 검증된 다양한 기법을 소개하고 최신 경제학 이론 및 인공지능 기술과 연결시킨다. 이 책에서 소개하는 내용은"
42,소프트 디지털 더 나은 세상을 위한 ,최장현,한빛미디어,이 책은 사람과 사회를 위한 ‘소프트 디지털’을 이야기합니다. 국내외의 사회 이슈와 안전사고 등으로 인해 시민 참여와 공공의 역할 모두에서 디지털의 요구가 높아지고 있습니다. 이 책은 디지털의 다양한
43,4차산업혁명 강의,최재용,미디어북,4차산업혁명 시대 변화를 이해하기 위한 필독서 [4차산업혁명 강의].
